Virus name	Genotype	Accession ID
hChikV/DRC/IMTSSA-a209b7c6/2000	II-ECSA	EPI_ISL_17458122
ChikV/mosquito/Gabon/I-e919a276/2007	II-ECSA	EPI_ISL_17458123
hChikV/bat/China/BJ-WZU-3652bd9a/2016	II-ECSA	EPI_ISL_17458231
hChikV/bat/China/BJ-WZU-9392539e/2016	II-ECSA	EPI_ISL_17458232
hChikV/bat/China/BJ-WZU-9b714a04/2016	II-ECSA	EPI_ISL_17458233
hChikV/bat/China/BJ-WZU-c7fb3351/2016	II-ECSA	EPI_ISL_17458234
hChikV/Thailand/FC-NK3302/2018	II-ECSA	EPI_ISL_17458259
hChikV/India/RJ-IMB-00002/2006	II-ECSA	EPI_ISL_17458260
hChikV/Mauritius/IMB-00001/2006	II-ECSA	EPI_ISL_17458261
ChikV/mosquito/DRC/ITM-KAS004/2019	II-ECSA	EPI_ISL_17458262
ChikV/un/Reunion/ITM-01041750/2006	II-ECSA	EPI_ISL_17458264
ChikV/mosquito/DRC/ITM-MNF029/2019	II-ECSA	EPI_ISL_17458265
hChikV/DRC/ITM-35c6092b/2019	II-ECSA	EPI_ISL_17458270
hChikV/DRC/ITM-589402d3/2019	II-ECSA	EPI_ISL_17458271
hChikV/DRC/ITM-22832417/2019	II-ECSA	EPI_ISL_17458273
ChikV/mosquito/DRC/ITM-KAS002/2019	II-ECSA	EPI_ISL_17458276
ChikV/mosquito/DRC/ITM-MAT011/2019	II-ECSA	EPI_ISL_17458277
ChikV/mosquito/DRC/ITM-MAT009/2019	II-ECSA	EPI_ISL_17458279
hChikV/DRC/ITM-083e34a3/2019	II-ECSA	EPI_ISL_17458280
hChikV/DRC/ITM-6c91c419/2019	II-ECSA	EPI_ISL_17458281
ChikV/mosquito/DRC/ITM-MAT005/2019	II-ECSA	EPI_ISL_17458282
ChikV/mosquito/DRC/ITM-MAT010/2019	II-ECSA	EPI_ISL_17458283
ChikV/mosquito/DRC/ITM-KAS003/2019	II-ECSA	EPI_ISL_17458284
hChikV/DRC/ITM-18a8e1a4/2019	II-ECSA	EPI_ISL_17458285
hChikV/DRC/ITM-cdf75d32/2019	II-ECSA	EPI_ISL_17458286
ChikV/mosquito/DRC/ITM-MAT001/2019	II-ECSA	EPI_ISL_17458288
hChikV/Brazil/SP-IAL-NS8298/2020	II-ECSA	EPI_ISL_17458326
hChikV/Brazil/SP-IAL-46454/2021	II-ECSA	EPI_ISL_17458334
hChikV/Brazil/SP-IAL-NS8895/2021	II-ECSA	EPI_ISL_17458346
hChikV/Brazil/SP-IAL-NS8432/2020	II-ECSA	EPI_ISL_17458352
hChikV/Brazil/SP-IAL-NS8443/2020	II-ECSA	EPI_ISL_17458353
hChikV/Brazil/SP-IAL-45326/2020	II-ECSA	EPI_ISL_17458356
hChikV/Brazil/SP-IAL-NS8694/2021	II-ECSA	EPI_ISL_17458358
hChikV/Brazil/SP-IAL-NS9092/2021	II-ECSA	EPI_ISL_17458359
hChikV/Brazil/SP-IAL-NS8981/2021	II-ECSA	EPI_ISL_17458371
hChikV/Brazil/SP-IAL-NS8490/2021	II-ECSA	EPI_ISL_17458376
hChikV/Brazil/RJ-UFRJ-16a0b971/2016	II-ECSA	EPI_ISL_17458379
hChikV/Equatorial Guinea/ISCIII-1088vi/2006	II-ECSA	EPI_ISL_17458417
hChikV/Equatorial Guinea/ISCIII-EG015/2002	II-ECSA	EPI_ISL_17458425
hChikV/Equatorial Guinea/ISCIII-EG641/2002	II-ECSA	EPI_ISL_17458426
hChikV/Equatorial Guinea/ISCIII-EG640/2002	II-ECSA	EPI_ISL_17458427
hChikV/India/un-IRSHA-1572_6cfb70c6/2016	II-ECSA	EPI_ISL_17458433
hChikV/India/un-ICGEB-7b87a253/2010	II-ECSA	EPI_ISL_17458498
hChikV/India/un-ICGEB-3d3537c3/2010	II-ECSA	EPI_ISL_17458499
hChikV/India/un-ICGEB-79830efb/2013	II-ECSA	EPI_ISL_17458500
hChikV/India/un-ICGEB-1ffe3bed/2011	II-ECSA	EPI_ISL_17458501
hChikV/India/un-ICGEB-0c0dd0cb/2010		EPI_ISL_17458502
hChikV/India/un-ICGEB-6a032687/2010		EPI_ISL_17458503
hChikV/India/un-ICGEB-009902a4/2012	II-ECSA	EPI_ISL_17458504
hChikV/India/un-ICGEB-7be2599b/2010	II-ECSA	EPI_ISL_17458505
hChikV/India/un-ICGEB-d26ec432/2013	II-ECSA	EPI_ISL_17458506
hChikV/India/un-ICGEB-fa2a0c4e/2013	II-ECSA	EPI_ISL_17458507
hChikV/India/un-ICGEB-3394d404/2010	II-ECSA	EPI_ISL_17458508
hChikV/India/un-ICGEB-d0aa3cde/2011	II-ECSA	EPI_ISL_17458509
hChikV/India/un-ICGEB-ab963960/2011	II-ECSA	EPI_ISL_17458510
hChikV/India/un-ICGEB-f67e56c2/2012	II-ECSA	EPI_ISL_17458511
hChikV/India/un-ICGEB-9103a72c/2012	II-ECSA	EPI_ISL_17458512
hChikV/India/un-ICGEB-2f92e336/2013	II-ECSA	EPI_ISL_17458513
hChikV/India/un-ICGEB-b95776d4/2013	II-ECSA	EPI_ISL_17458514
hChikV/India/un-ICGEB-35243e3b/2012	II-ECSA	EPI_ISL_17458515
hChikV/India/un-ICGEB-01_ce23fd97/2012	II-ECSA	EPI_ISL_17458516
hChikV/India/un-ICGEB-9628926c/2012	II-ECSA	EPI_ISL_17458517
hChikV/India/un-ICGEB-003d3506/2012	II-ECSA	EPI_ISL_17458518
hChikV/India/un-ICGEB-608f7ea9/2012	II-ECSA	EPI_ISL_17458519
hChikV/India/un-ICGEB-0c7a5a1c/2011	II-ECSA	EPI_ISL_17458520
hChikV/India/un-ICGEB-54_75d21978/2012	II-ECSA	EPI_ISL_17458521
hChikV/India/un-ICGEB-03_ee6d8a8a/2010	II-ECSA	EPI_ISL_17458522
hChikV/India/un-ICGEB-01_49e64d6a/2010	II-ECSA	EPI_ISL_17458523
hChikV/India/un-ICGEB-06_8105544e/2010	II-ECSA	EPI_ISL_17458524
hChikV/India/un-ICGEB-01_4df72c89/2016	II-ECSA	EPI_ISL_17458525
hChikV/India/un-ICGEB-05_d4e85048/2010	II-ECSA	EPI_ISL_17458526
hChikV/India/un-ICGEB-f8b9a807/2013	II-ECSA	EPI_ISL_17458527
hChikV/India/un-ICGEB-20_1e1f6040/2010	II-ECSA	EPI_ISL_17458528
hChikV/India/un-ICGEB-13_2d5dd704/2010	II-ECSA	EPI_ISL_17458529
hChikV/India/un-ICGEB-14_514fd69a/2010	II-ECSA	EPI_ISL_17458530
hChikV/India/un-ICGEB-11_21eab78f/2016	II-ECSA	EPI_ISL_17458531
hChikV/India/un-ICGEB-11_65af0df6/2010	II-ECSA	EPI_ISL_17458532
hChikV/India/un-ICGEB-12_3a2494c2/2010	II-ECSA	EPI_ISL_17458533
hChikV/India/un-ICGEB-02_3337d02d/2016	II-ECSA	EPI_ISL_17458534
hChikV/India/un-ICGEB-03_c46ee246/2016	II-ECSA	EPI_ISL_17458535
hChikV/India/un-ICGEB-10_10063143/2010	II-ECSA	EPI_ISL_17458536
hChikV/India/un-ICGEB-15/2012	II-ECSA	EPI_ISL_17458537
hChikV/Comoros/ILRI-Com5/2005	II-ECSA	EPI_ISL_17458538
hChikV/Comoros/ILRI-S7/2005	II-ECSA	EPI_ISL_17458539
hChikV/Comoros/ILRI-L2/2005	II-ECSA	EPI_ISL_17458540
ChikV/mosquito/Italy/un-IZSLER-00001/2007	II-ECSA	EPI_ISL_17458561
hChikV/Malaysia/JCVI-f665ab4b/2009	II-ECSA	EPI_ISL_17458615
hChikV/USA/un-JCVI-b784a2ff/1995	II-ECSA	EPI_ISL_17458681
hChikV/Reunion/JCVI-ebc427a4/2006	II-ECSA	EPI_ISL_17458684
hChikV/Sri Lanka/JCVI-57f2f4cb/2008	II-ECSA	EPI_ISL_17458685
hChikV/USA/un-JCVI-211ec6b8/2006	II-ECSA	EPI_ISL_17458687
hChikV/USA/un-JCVI-1c225251/2006	II-ECSA	EPI_ISL_17458688
hChikV/Cameroon/JCVI-79ebaf27/2006	II-ECSA	EPI_ISL_17458696
hChikV/Italy/un-JCVI-ce0fef39/2007	II-ECSA	EPI_ISL_17458751
hChikV/Italy/un-JCVI-8e7c1b66/2007	II-ECSA	EPI_ISL_17458755
hChikV/India/un-JHU_daff9fb6/2014	II-ECSA	EPI_ISL_17458769
hChikV/India/un-JHU-7b0f822d/2015	II-ECSA	EPI_ISL_17458770
hChikV/India/un-JHU-f52fa7d7/2015	II-ECSA	EPI_ISL_17458778
hChikV/India/un-JHU-937a2f09/2014	II-ECSA	EPI_ISL_17458785
hChikV/India/un-JHU-6154f8c7/2015	II-ECSA	EPI_ISL_17458787
hChikV/Kenya/KEMRI-3260ce85/2017	II-ECSA	EPI_ISL_17458809
hChikV/Kenya/KEMRI-27b5bed2/2018	II-ECSA	EPI_ISL_17458810
ChikV/mosquito/Kenya/KEMRI-VH50/2018	II-ECSA	EPI_ISL_17458811
hChikV/Kenya/KEMRI-44ad8559/2018	II-ECSA	EPI_ISL_17458812
hChikV/Kenya/KEMRI-1f63bf29/2018	II-ECSA	EPI_ISL_17458813
hChikV/Kenya/KEMRI-323497c4/2018	II-ECSA	EPI_ISL_17458814
hChikV/Kenya/KEMRI-5505b876/2018	II-ECSA	EPI_ISL_17458815
hChikV/Kenya/KEMRI-457b4950/2018	II-ECSA	EPI_ISL_17458816
hChikV/Kenya/KEMRI-5a052649/2018	II-ECSA	EPI_ISL_17458817
hChikV/Kenya/KEMRI-3b08e690/2018	II-ECSA	EPI_ISL_17458818
hChikV/Kenya/KEMRI-116a47e5/2017	II-ECSA	EPI_ISL_17458819
hChikV/Kenya/KEMRI-fd9cb631/2018	II-ECSA	EPI_ISL_17458820
hChikV/Kenya/KEMRI-aa63e7f3/2018	II-ECSA	EPI_ISL_17458821
hChikV/Kenya/KEMRI-4774d049/2018	II-ECSA	EPI_ISL_17458822
hChikV/Kenya/KEMRI-e0188024/2018	II-ECSA	EPI_ISL_17458823
hChikV/Kenya/KEMRI-7b2361e6/2015	II-ECSA	EPI_ISL_17458824
hChikV/Kenya/KEMRI-f886d5b8/2017	II-ECSA	EPI_ISL_17458825
hChikV/Kenya/KEMRI-a51bc89a/2016	II-ECSA	EPI_ISL_17458826
hChikV/Kenya/KEMRI-94f11be3/2014	II-ECSA	EPI_ISL_17458827
hChikV/Kenya/KEMRI-ce235678/2018	II-ECSA	EPI_ISL_17458828
ChikV/mosquito/Kenya/KEMRI-dd13d7a6/2018	II-ECSA	EPI_ISL_17458829
hChikV/Kenya/KEMRI-b7d8939e/2018	II-ECSA	EPI_ISL_17458830
hChikV/Kenya/KEMRI-a7692f06/2014	II-ECSA	EPI_ISL_17458831
hChikV/Kenya/KEMRI-cbb5b19f/2018	II-ECSA	EPI_ISL_17458832
hChikV/Kenya/KEMRI-1f7f6a46/2018	II-ECSA	EPI_ISL_17458833
hChikV/Kenya/KEMRI-fcc52421/2018	II-ECSA	EPI_ISL_17458834
hChikV/Kenya/KEMRI-cf70954c/2018	II-ECSA	EPI_ISL_17458835
hChikV/Kenya/KEMRI-13fa5f73/2018	II-ECSA	EPI_ISL_17458836
hChikV/Kenya/KEMRI-734d1081/2018	II-ECSA	EPI_ISL_17458837
hChikV/Kenya/KEMRI-f9c2268d/2017	II-ECSA	EPI_ISL_17458838
ChikV/mosquito/Kenya/KEMRI-3aa35668/2018	II-ECSA	EPI_ISL_17458839
hChikV/Kenya/KEMRI-d8a71e35/2017	II-ECSA	EPI_ISL_17458840
hChikV/Kenya/KEMRI-2897c040/2016	II-ECSA	EPI_ISL_17458841
hChikV/Kenya/KEMRI-d3b26e97/2016	II-ECSA	EPI_ISL_17458842
hChikV/Kenya/KEMRI-15346762/2016	II-ECSA	EPI_ISL_17458843
hChikV/Kenya/KEMRI-b8de16da/2016	II-ECSA	EPI_ISL_17458844
hChikV/Kenya/KEMRI-bca349a9/2016	II-ECSA	EPI_ISL_17458845
hChikV/Kenya/KEMRI-e021d21c/2016	II-ECSA	EPI_ISL_17458846
hChikV/Kenya/KEMRI-10d92e23/2016	II-ECSA	EPI_ISL_17458847
hChikV/Kenya/KEMRI-a47d399a/2016	II-ECSA	EPI_ISL_17458848
hChikV/Kenya/KEMRI-b5c607ae/2016	II-ECSA	EPI_ISL_17458849
hChikV/Kenya/KEMRI-95b6e02d/2016	II-ECSA	EPI_ISL_17458850
hChikV/Kenya/KEMRI-d55da6b6/2016	II-ECSA	EPI_ISL_17458851
hChikV/Kenya/KEMRI-e199173a/2016	II-ECSA	EPI_ISL_17458852
hChikV/Kenya/KEMRI-4ef6f8d2/2016	II-ECSA	EPI_ISL_17458853
hChikV/Kenya/KEMRI-088ebc6c/2016	II-ECSA	EPI_ISL_17458854
hChikV/Kenya/KEMRI-b23ba795/2016	II-ECSA	EPI_ISL_17458855
hChikV/Kenya/KEMRI-7954a3a0/2016	II-ECSA	EPI_ISL_17458856
hChikV/Kenya/KEMRI-f765c386/2016	II-ECSA	EPI_ISL_17458857
hChikV/Kenya/KEMRI-14434a32/2016	II-ECSA	EPI_ISL_17458858
hChikV/China/YN-KUST-81d86fd4/2019	II-ECSA	EPI_ISL_17458877
hChikV/China/YN-KUST-685f0463/2019	II-ECSA	EPI_ISL_17458878
hChikV/Myanmar/KUST-53668549/2019	II-ECSA	EPI_ISL_17458879
hChikV/China/YN-KUST-769b0dfb/2019	II-ECSA	EPI_ISL_17458881
hChikV/China/YN-KUST-ad2604be/2019	II-ECSA	EPI_ISL_17458882
hChikV/China/YN-KUST-d554fdfb/2019	II-ECSA	EPI_ISL_17458883
hChikV/Myanmar/KUST-97db7249/2019	II-ECSA	EPI_ISL_17458884
hChikV/China/YN-KUST-f2b63fbb/2019	II-ECSA	EPI_ISL_17458885
hChikV/China/YN-KUST-3b1ed1b9/2019	II-ECSA	EPI_ISL_17458886
hChikV/Indonesia/un-LUMC-320102eb/2010	II-ECSA	EPI_ISL_17458921
ChikV/un/Thailand/MB-6ef035ee/2009	II-ECSA	EPI_ISL_17459078
hChikV/Thailand/MU-11615ea7/2019	II-ECSA	EPI_ISL_17459097
hChikV/Bangladesh/MU-e76932f5/2017	II-ECSA	EPI_ISL_17459100
hChikV/Bangladesh/MU-1a073f26/2017	II-ECSA	EPI_ISL_17459104
hChikV/Bangladesh/MU-81f60556/2017	II-ECSA	EPI_ISL_17459106
hChikV/Bangladesh/MU-fe5164cd/2017	II-ECSA	EPI_ISL_17459114
hChikV/Thailand/MU-66917b04/2019	II-ECSA	EPI_ISL_17459116
hChikV/Bangladesh/MU-af3eb180/2017	II-ECSA	EPI_ISL_17459117
hChikV/Bangladesh/MU-09bf7408/2017	II-ECSA	EPI_ISL_17459118
hChikV/Thailand/MU-f423af0a/2019	II-ECSA	EPI_ISL_17459119
hChikV/Bangladesh/MU-cd95bccf/2017	II-ECSA	EPI_ISL_17459120
hChikV/Bangladesh/MU-5b0fce1b/2017	II-ECSA	EPI_ISL_17459122
hChikV/Thailand/MU-a1de2ea4/2019	II-ECSA	EPI_ISL_17459136
hChikV/Thailand/MU-888ea7fb/2019	II-ECSA	EPI_ISL_17459137
hChikV/Bangladesh/MU-50604208/2017	II-ECSA	EPI_ISL_17459141
hChikV/Thailand/MU-7c827199/2019	II-ECSA	EPI_ISL_17459143
hChikV/Bangladesh/MU-baebeb6e/2017	II-ECSA	EPI_ISL_17459145
hChikV/Thailand/MU-b8fd7bc8/2019	II-ECSA	EPI_ISL_17459146
hChikV/Bangladesh/MU-2262739c/2017	II-ECSA	EPI_ISL_17459161
hChikV/Bangladesh/MU-17dfa84c/2017	II-ECSA	EPI_ISL_17459162
hChikV/Thailand/MU-4011f874/2019	II-ECSA	EPI_ISL_17459163
hChikV/Bangladesh/MU-17e5a95a/2017	II-ECSA	EPI_ISL_17459164
hChikV/Thailand/MU-149b0b2f/2010	II-ECSA	EPI_ISL_17459165
hChikV/Thailand/MU-6fc66bea/2019	II-ECSA	EPI_ISL_17459167
hChikV/Bangladesh/MU-2a63ecfc/2017	II-ECSA	EPI_ISL_17459168
hChikV/Thailand/MU-98007598/2019	II-ECSA	EPI_ISL_17459175
hChikV/Thailand/MU-240a30a9/2019	II-ECSA	EPI_ISL_17459177
hChikV/Congo/MIVEGEC-RC_Diosso/2019	II-ECSA	EPI_ISL_17459183
hChikV/Congo/MIVEGEC-RC_Diosso_31/2019	II-ECSA	EPI_ISL_17459184
hChikV/Congo/MIVEGEC-RC_Diosso_9/2019	II-ECSA	EPI_ISL_17459185
hChikV/India/un-RGCB-c4161828/2008	II-ECSA	EPI_ISL_17459232
hChikV/India/un-RGCB-ddee20ed/2006	II-ECSA	EPI_ISL_17459235
hChikV/India/un-RGCB-100316b5/2006	II-ECSA	EPI_ISL_17459236
hChikV/India/un-RGCB-f7642ef8/2007	II-ECSA	EPI_ISL_17459242
hChikV/India/un-RGCB-cd9c38a1/2007	II-ECSA	EPI_ISL_17459253
hChikV/India/KL-RGCB-52de7e20/2010	II-ECSA	EPI_ISL_17459256
hChikV/India/KL-RGCB-5052b7d1/2013	II-ECSA	EPI_ISL_17459257
hChikV/India/KL-RGCB-dad3506d/2013	II-ECSA	EPI_ISL_17459258
hChikV/India/KL-RGCB-79c0386f/2009	II-ECSA	EPI_ISL_17459260
hChikV/India/KL-RGCB-d9bea5e2/2012	II-ECSA	EPI_ISL_17459261
hChikV/India/KL-RGCB-d8aced4b/2012	II-ECSA	EPI_ISL_17459262
hChikV/India/un-RGCB-1a899b01/2008	II-ECSA	EPI_ISL_17459265
hChikV/Myanmar/NEKKEN-36ba61a2/2010	II-ECSA	EPI_ISL_17459266
hChikV/Myanmar/NEKKEN-4a75cee4/2010	II-ECSA	EPI_ISL_17459267
hChikV/Myanmar/NEKKEN-0b166d77/2010	II-ECSA	EPI_ISL_17459268
hChikV/Myanmar/NEKKEN-e2989acd/2010	II-ECSA	EPI_ISL_17459269
hChikV/Gabon/NEKKEN-SYMAV-H0915/2021	II-ECSA	EPI_ISL_17459271
hChikV/Sri Lanka/EHI-3408/2008	II-ECSA	EPI_ISL_17459735
hChikV/Sri Lanka/EHI-19708/2008	II-ECSA	EPI_ISL_17459736
hChikV/Sri Lanka/EHI-6008/2008	II-ECSA	EPI_ISL_17459739
hChikV/Sudan/NIS-PHE-5ed52c96/2018	II-ECSA	EPI_ISL_17459740
hChikV/Cambodia/NIAID-7b18131d/2021	II-ECSA	EPI_ISL_17459743
hChikV/Cambodia/NIAID-3e831e8d/2020	II-ECSA	EPI_ISL_17459744
hChikV/Cambodia/NIAID-3301091e/2020	II-ECSA	EPI_ISL_17459745
hChikV/Cambodia/NIAID-3df487d0/2020	II-ECSA	EPI_ISL_17459746
hChikV/Cambodia/NIAID-128d25fa/2020	II-ECSA	EPI_ISL_17459747
hChikV/Cambodia/NIAID-a5317c10/2020	II-ECSA	EPI_ISL_17459748
hChikV/Cambodia/NIAID-5660be2f/2020	II-ECSA	EPI_ISL_17459749
hChikV/Cambodia/NIAID-0f71681a/2020	II-ECSA	EPI_ISL_17459750
hChikV/Cambodia/NIAID-0e5929fa/2020	II-ECSA	EPI_ISL_17459751
hChikV/Cambodia/NIAID-88131146/2020	II-ECSA	EPI_ISL_17459753
hChikV/Cambodia/NIAID-50654918/2020	II-ECSA	EPI_ISL_17459755
hChikV/Cambodia/NIAID-80bd8c6c/2021	II-ECSA	EPI_ISL_17459756
hChikV/Cambodia/NIAID-e0725772/2020	II-ECSA	EPI_ISL_17459757
hChikV/Cambodia/NIAID-dd3dadd8/2021	II-ECSA	EPI_ISL_17459758
hChikV/Cambodia/NIAID-87c46072/2020	II-ECSA	EPI_ISL_17459759
hChikV/Cambodia/NIAID-530374f7/2020	II-ECSA	EPI_ISL_17459760
hChikV/Cambodia/NIAID-9c3293cc/2021	II-ECSA	EPI_ISL_17459761
hChikV/Cambodia/NIAID-bc541df2/2020	II-ECSA	EPI_ISL_17459762
hChikV/Angola/NIID-NIID54/2016	II-ECSA	EPI_ISL_17459920
hChikV/Japan/NIID-89e32fbb/2006	II-ECSA	EPI_ISL_17459921
hChikV/Japan/NIID-f44f3f12/2006	II-ECSA	EPI_ISL_17459922
hChikV/Malaysia/NIID-NIID02/2009	II-ECSA	EPI_ISL_17459926
hChikV/Congo/INMI-f90f2108/2019	II-ECSA	EPI_ISL_17459936
hChikV/Congo/INMI-36ce0fb6/2019	II-ECSA	EPI_ISL_17459942
hChikV/Congo/un-INMI-ITA4_MRA/2019	II-ECSA	EPI_ISL_17459943
hChikV/Italy/un-INMI-d3fe3268/2017	II-ECSA	EPI_ISL_17459944
hChikV/Italy/un-INMI-04747e8b/2017	II-ECSA	EPI_ISL_17459951
hChikV/India/un-NIV-2d2667e7/2017	II-ECSA	EPI_ISL_17459996
hChikV/India/un-NIV-f0bf61d9/2014	II-ECSA	EPI_ISL_17459999
hChikV/India/un-NIV-6e6532c3/2016	II-ECSA	EPI_ISL_17460000
hChikV/India/un-NIV-6e8b59f4/2016	II-ECSA	EPI_ISL_17460002
hChikV/India/un-NIV-c166b23b/2015	II-ECSA	EPI_ISL_17460003
hChikV/India/un-NIV-8d674bdc/2015	II-ECSA	EPI_ISL_17460005
hChikV/India/KL-NIV-88868f2b/2007	II-ECSA	EPI_ISL_17460008
hChikV/India/KL-NIV-b48a8b82/2006	II-ECSA	EPI_ISL_17460009
hChikV/India/MH-NIV-5a358170/2006	II-ECSA	EPI_ISL_17460010
hChikV/India/KA-NIV-444bbbc0/2006	II-ECSA	EPI_ISL_17460011
hChikV/India/un-NIV-287953e2/2017	II-ECSA	EPI_ISL_17460013
hChikV/India/un-NIV-f3d60208/2018	II-ECSA	EPI_ISL_17460015
hChikV/India/MH-NIV-00004/2006	II-ECSA	EPI_ISL_17460039
hChikV/India/TN-NIV-00005/2006	II-ECSA	EPI_ISL_17460040
hChikV/India/MH-NIV-00007/2000	II-ECSA	EPI_ISL_17460058
hChikV/India/GJ-NIV-e298b411/2006	II-ECSA	EPI_ISL_17460071
hChikV/India/un-NIV-30d788e1/2014	II-ECSA	EPI_ISL_17460075
hChikV/India/un-NIV-b1336981/2018	II-ECSA	EPI_ISL_17460104
hChikV/India/un-NIV-ae794777/2019	II-ECSA	EPI_ISL_17460114
hChikV/India/RJ-NIV-00006/2006	II-ECSA	EPI_ISL_17460129
hChikV/India/GJ-NIV-6c98ba27/2006	II-ECSA	EPI_ISL_17460130
hChikV/India/GJ-NIV-85d9e6fd/2006	II-ECSA	EPI_ISL_17460131
hChikV/India/KA-NIV-4777dc2f/2006	II-ECSA	EPI_ISL_17460132
hChikV/India/KA-NIV-00003/2006	II-ECSA	EPI_ISL_17460135
hChikV/India/AP-NIV-00002/2006	II-ECSA	EPI_ISL_17460151
ChikV/mosquito/India/KA-NIV-19-6904-1/2019	II-ECSA	EPI_ISL_17460213
hChikV/India/un-NIV-34217d42/2017	II-ECSA	EPI_ISL_17460231
hChikV/India/un-NIV-ea98116c/2016	II-ECSA	EPI_ISL_17460254
hChikV/Maldives/OU-MLD191/2019	II-ECSA	EPI_ISL_17460265
hChikV/Thailand/OU-BHTD201/2020	II-ECSA	EPI_ISL_17460266
hChikV/Maldives/OU-MLD192/2019	II-ECSA	EPI_ISL_17460268
hChikV/Maldives/OU-MLD193/2019	II-ECSA	EPI_ISL_17460269
hChikV/Maldives/OU-MLD19/2019	II-ECSA	EPI_ISL_17460272
hChikV/Maldives/OU-MLD19/2019	II-ECSA	EPI_ISL_17460273
hChikV/Maldives/OU-MLD19/2019	II-ECSA	EPI_ISL_17460274
hChikV/Thailand/OU-BHTD20/2020	II-ECSA	EPI_ISL_17460275
hChikV/Maldives/OU-MLD19/2019	II-ECSA	EPI_ISL_17460276
hChikV/Maldives/OU-MLD19/2019	II-ECSA	EPI_ISL_17460278
hChikV/Thailand/OU-BHTD20/2020	II-ECSA	EPI_ISL_17460284
hChikV/Thailand/OU-BHTD20/2020	II-ECSA	EPI_ISL_17460285
hChikV/Thailand/OU-BHTD20/2020	II-ECSA	EPI_ISL_17460286
hChikV/Maldives/OU-MLD19/2019	II-ECSA	EPI_ISL_17460287
hChikV/Maldives/OU-MLD19/2019	II-ECSA	EPI_ISL_17460288
hChikV/Maldives/OU-MLD19/2019	II-ECSA	EPI_ISL_17460289
hChikV/Thailand/OU-BHTD20/2020	II-ECSA	EPI_ISL_17460296
hChikV/Maldives/OU-MLD19/2019	II-ECSA	EPI_ISL_17460297
hChikV/Thailand/OU-BHTD20/2020	II-ECSA	EPI_ISL_17460299
hChikV/Maldives/OU-MLD19/2019	II-ECSA	EPI_ISL_17460300
hChikV/Thailand/OU-BHTD20/2020	II-ECSA	EPI_ISL_17460301
hChikV/Thailand/OU-BHTD20/2020	II-ECSA	EPI_ISL_17460302
hChikV/Thailand/OU-BHTD20/2020	II-ECSA	EPI_ISL_17460303
hChikV/Maldives/OU-MLD19/2019	II-ECSA	EPI_ISL_17460304
hChikV/Maldives/OU-MLD19/2019	II-ECSA	EPI_ISL_17460305
hChikV/Maldives/OU-MLD19/2019	II-ECSA	EPI_ISL_17460308
hChikV/Brazil/un-Fiocruz-00055/2018	II-ECSA	EPI_ISL_17460324
hChikV/Brazil/RJ-Fiocruz-18/2016	II-ECSA	EPI_ISL_17460329
hChikV/Brazil/RJ-Fiocruz-12/2017	II-ECSA	EPI_ISL_17460333
hChikV/Brazil/RJ-Fiocruz-001/2016	II-ECSA	EPI_ISL_17460338
hChikV/Brazil/RJ-Fiocruz-0014/2017	II-ECSA	EPI_ISL_17460339
ChikV/Brazil/RJ-Fiocruz-0000008/2015	II-ECSA	EPI_ISL_17460343
hChikV/Brazil/un-Fiocruz-00058/2016	II-ECSA	EPI_ISL_17460348
hChikV/Brazil/PE-Fiocruz-003C/2016	II-ECSA	EPI_ISL_17460350
hChikV/Brazil/BA-Fiocruz-29PL/2016	II-ECSA	EPI_ISL_17460358
hChikV/Brazil/BA-Fiocruz-0045SR/2016	II-ECSA	EPI_ISL_17460360
hChikV/Brazil/RJ-Fiocruz-00049/2019	II-ECSA	EPI_ISL_17460372
hChikV/Brazil/RJ-Fiocruz-00048/2019	II-ECSA	EPI_ISL_17460375
hChikV/Brazil/RJ-Fiocruz-00050/2019	II-ECSA	EPI_ISL_17460376
hChikV/Brazil/RJ-Fiocruz-00030/2019	II-ECSA	EPI_ISL_17460387
hChikV/Brazil/RJ-Fiocruz-00028/2019	II-ECSA	EPI_ISL_17460389
hChikV/Brazil/RJ-Fiocruz-00040/2019	II-ECSA	EPI_ISL_17460404
hChikV/Brazil/RJ-Fiocruz-00031/2019	II-ECSA	EPI_ISL_17460410
hChikV/Brazil/RJ-Fiocruz-00034/2019	II-ECSA	EPI_ISL_17460413
hChikV/Brazil/RJ-Fiocruz-00039/2019	II-ECSA	EPI_ISL_17460417
hChikV/Thailand/PSU-bbcab51e/2018	II-ECSA	EPI_ISL_17460459
hChikV/Sudan/PHE-a88b815b/2018	II-ECSA	EPI_ISL_17460476
hChikV/Sudan/PHE-d90d79b0/2018	II-ECSA	EPI_ISL_17460477
hChikV/Sudan/PHE-21f039ad/2018	II-ECSA	EPI_ISL_17460478
hChikV/Sudan/PHE-d0600b54/2018	II-ECSA	EPI_ISL_17460479
hChikV/Sudan/PHE-1baf1da2/2018	II-ECSA	EPI_ISL_17460480
hChikV/Sudan/PHE-64d70636/2018	II-ECSA	EPI_ISL_17460481
hChikV/Sudan/PHE-20020172/2018	II-ECSA	EPI_ISL_17460482
hChikV/Sudan/PHE-a46a734a/2018	II-ECSA	EPI_ISL_17460483
hChikV/Sudan/PHE-ab7544ae/2018	II-ECSA	EPI_ISL_17460484
hChikV/India/un-PHE-9a200c43/2016	II-ECSA	EPI_ISL_17460485
